time,agegrp,sim_low95,sim_median,sim_up95
718,2,0.04241018834402797,0.05047352921357623,0.0610807898494478
718,3,0.00750026996577113,0.009458538902372004,0.012077534485803858
718,4,0.011572539443406088,0.014561553522571886,0.018563632739265423
718,5,0.04635789707293559,0.058484926831400795,0.0744397740824919
725,1,0.1377671047337258,0.1605490622579514,0.18876464441070961
725,2,0.03363460652375768,0.04074703211288033,0.05012320799957909
725,3,0.005405254114734914,0.006982394138443673,0.009124170767479801
725,4,0.008386672446898056,0.010766980803633789,0.014060505827953389
725,5,0.032964223048408486,0.04252739716730811,0.05543866758510678
732,1,0.11267000414612287,0.13329841325648972,0.1589408167158311
732,2,0.027027141245191188,0.03328855147182043,0.04161093815373566
732,3,0.003976322969773822,0.005238861163976162,0.007024943293170229
732,4,0.006169663130192976,0.008100978750374615,0.010823713541900195
732,5,0.02383457079400806,0.031489187296567384,0.041948897276549095
739,1,0.09295972590385047,0.1119624729911968,0.1355458534467143
739,2,0.0220467117875026,0.02763025557176508,0.03508651325135746
739,3,0.0029738439329225824,0.004009336325573284,0.005511387171469174
739,4,0.004633283030891516,0.0062149023618321,0.008492430182532405
739,5,0.01762449190111902,0.02378356817014629,0.03248424115061762
746,1,0.0779966465144136,0.09548020497278356,0.11739980140316919
746,2,0.018304701422744433,0.023338372397403887,0.03011086339618847
746,3,0.0022819474821713245,0.0031399897972347883,0.004407556416505409
746,4,0.00356719127336773,0.004884400430313726,0.006815669949990525
746,5,0.013340457520375045,0.01841208193959483,0.025687157009713656
753,1,0.06680747410733227,0.08283258461901045,0.1035345992394031
753,2,0.01553174134034366,0.020106285412316415,0.026376142724396166
753,3,0.001798640577899862,0.0025252581007530663,0.0036165058977271204
753,4,0.002815193067134097,0.003937148590071549,0.005584755953958174
753,5,0.010394845725355118,0.014638045634796842,0.02087480621676632
760,1,0.058271637287219374,0.07335351143654481,0.093115867953502
760,2,0.013465968219600433,0.017714461645439293,0.02360314326339931
760,3,0.0014600453468901534,0.002090665666730198,0.003040054733977789
760,4,0.0022954289090639716,0.0032669975052182654,0.0047144271886575325
760,5,0.00838805824281924,0.011995606908828987,0.017441881072230474
767,1,0.05207677035595584,0.06653599005942301,0.08548997681237326
767,2,0.012044060311589975,0.01602965637011042,0.021657282436759656
767,3,0.0012282782950033548,0.0017872439694447584,0.002634873457914686
767,4,0.0019348948536953737,0.002800034426414937,0.004112249550990442
767,5,0.006969443147460524,0.010151409764894585,0.014986061995745854
774,1,0.04786870913760111,0.061931580717148355,0.08047825560745074
774,2,0.011088460598047443,0.014939067014169475,0.02039367383967148
774,3,0.001071950087917539,0.001581560906304934,0.0023592676278988253
774,4,0.0016900159379577351,0.002481306377689345,0.003694149774613049
774,5,0.006025242444158257,0.008898153752248845,0.013278812004405836
781,1,0.04538345088052737,0.05933484586840489,0.07777357924985961
781,2,0.010551460999103287,0.014367430578583567,0.019774208810900546
781,3,0.0009727264546626838,0.0014520042601670119,0.0021927461180385323
781,4,0.0015356134122836143,0.0022799401797364153,0.003436440118084059
781,5,0.00541206471856428,0.008096408173071612,0.012172175980534394
788,1,0.0444922301529457,0.05869399327302641,0.07743800984929215
788,2,0.010414823125278359,0.01428918781064121,0.019799656458557028
788,3,0.0009192012507208858,0.001384398051023074,0.002112748729991669
788,4,0.0014539452723481864,0.0021752715670889317,0.0033135991220119496
788,5,0.0050683121906351936,0.007659772124146806,0.01162526825392449
795,1,0.045251870151165816,0.06002998953834458,0.07968612930262711
795,2,0.010674840736034983,0.014727645915133196,0.020496792030285798
795,3,0.0009076281060671571,0.0013745625825781634,0.0021090319184541117
795,4,0.0014359365904993715,0.002157719310967915,0.0033102890578195787
795,5,0.004968154091880383,0.007545604961603223,0.011538761553075216
802,1,0.04775308464649436,0.06364975159859751,0.08471604536592124
802,2,0.011393457877000863,0.015760927313850544,0.021984157076485367
802,3,0.0009369297653356792,0.001421165649628206,0.0021901559104712167
802,4,0.0014786978074828388,0.002231096629136341,0.00343466257416479
802,5,0.005079793489281491,0.0077406764617229135,0.011897102164667205
809,1,0.05259408348924049,0.07007536138718856,0.09334101448165286
809,2,0.012689992126594668,0.017534575856629417,0.02443877652139795
809,3,0.0010114538873159033,0.001534819525943192,0.002360368390622662
809,4,0.001597564549734206,0.0024057114736003348,0.003696488615008044
809,5,0.005440528964023483,0.008297814264879955,0.012765670653413485
816,1,0.060402299542011394,0.08025149850974844,0.10673082781734003
816,2,0.014758861325292298,0.020324886116382248,0.028219135363011426
816,3,0.0011455008877998534,0.0017305309957930362,0.002656857503357408
816,4,0.00180259413504379,0.002707235836872531,0.004144731579394998
816,5,0.006124506765125516,0.009284959774713181,0.014245289425813273
823,1,0.07241344647873461,0.09571787974159121,0.12669044022042086
823,2,0.01794971518504746,0.024553546552272185,0.03388751879853488
823,3,0.0013603577824180548,0.002038636501016368,0.0031044701743535804
823,4,0.002133765555587249,0.003183772635923492,0.004851683911655667
823,5,0.007218800207243398,0.010857660685742607,0.01656782449552221
830,1,0.09074389690654844,0.11891134160626285,0.15595136482855362
830,2,0.022820850191299608,0.03094729438145411,0.04226721913116852
830,3,0.0016909658853329547,0.00251272516415371,0.0037924335929216428
830,4,0.002643404843070237,0.003912632558330506,0.005915593386496278
830,5,0.008933075555667925,0.013285143745797891,0.020064590190097598
837,1,0.11882530171343506,0.15399064334019005,0.19946852370074392
837,2,0.030373533471301808,0.04062506768502433,0.054812444191629756
837,3,0.0022088155211353656,0.00323188552528146,0.004819866686287843
837,4,0.003433037785791786,0.005022592512381522,0.0075042972393554565
837,5,0.01155182468618324,0.016984545232148186,0.02537578180464574
844,1,0.16267857438472347,0.20802532642016525,0.26439404342624184
844,2,0.042329711126074976,0.05570148067308488,0.0737751374423885
844,3,0.003010529023444057,0.004340974094820675,0.006370561683439231
844,4,0.004671479688830205,0.00672789211451692,0.009876443789568425
844,5,0.015686259404094027,0.02267841865640027,0.03334316814867727
851,1,0.23224127177892062,0.2921844557611534,0.3656689719560087
851,2,0.0615647384632033,0.07947958568792583,0.10309616615430692
851,3,0.004305864730328368,0.006091118471798685,0.008753202196491136
851,4,0.006651751131131322,0.009402393590315047,0.013526860094451285
851,5,0.022248288043549103,0.03162127311059247,0.045535299306489925
858,1,0.3455739028360236,0.4259445987279292,0.5247390335050851
858,2,0.09311908608123323,0.117923143120696,0.14965739388700003
858,3,0.006449763192746896,0.00890288270353972,0.012492506334475831
858,4,0.009932346719881194,0.01368436154442422,0.01925861915052002
858,5,0.03310736444505787,0.045924174009742635,0.0645633398526694
865,1,0.5339786336682788,0.6427066282615468,0.7788898309094215
865,2,0.14667970212337253,0.1813555175753225,0.22476480030987517
865,3,0.010070366746015573,0.01351746123444686,0.018519108126652566
865,4,0.01541889183837696,0.02072865541448353,0.028387606624781927
865,5,0.05142984464701353,0.06930760002895586,0.09506267672499341
872,1,0.850321469374858,1.0008919439144133,1.1852815511093873
872,2,0.23873096776090535,0.2878511213336462,0.349732552692988
872,3,0.016315806429016515,0.021303169091145817,0.028257411120739633
872,4,0.024941915234065085,0.032531621741424405,0.04333722886265987
872,5,0.0828877247895738,0.10862880977435233,0.14438508805134426
879,1,1.3875365605701258,1.5965117916428162,1.8463096790210383
879,2,0.3990158411786874,0.46896147599035554,0.5560385222858324
879,3,0.02741696401137035,0.03466316747100383,0.04455959570710143
879,4,0.04160286750881636,0.05275119216334795,0.0679970306845128
879,5,0.13849046720739386,0.17576997919044807,0.22657337294357954
886,1,2.2741108857800887,2.577840606279958,2.9317220332229543
886,2,0.6788079664802498,0.778631902058394,0.8972611095325616
886,3,0.047034735539583594,0.0578862495362229,0.07205437693792803
886,4,0.07111790487157713,0.08764607435064428,0.1095101889600737
886,5,0.23695899500194295,0.2922689849840949,0.3645655960006937
893,1,3.684658848618723,4.14298860531915,4.673083657478129
893,2,1.1505515044883279,1.2982505558186948,1.470567341921373
893,3,0.08244905992091439,0.09833599309584327,0.11905912693975328
893,4,0.12368187973172225,0.1480140982842314,0.17962935576318562
893,5,0.4133046165803209,0.49416671095782033,0.6001760512870061
900,1,5.705487527483989,6.4508909640908065,7.260442748732365
900,2,1.8966601529400062,2.128875536263819,2.391314338757794
900,3,0.14513069346140103,0.1682989795533234,0.1973922840586945
900,4,0.2163527145752375,0.2513065521041574,0.2950830245299554
900,5,0.7240426474366869,0.8434640819191603,0.9923925776820323
907,1,8.229188043414524,9.372013802832193,10.516145114969081
907,2,2.957819317583793,3.329875211064757,3.7313543317555595
907,3,0.25278939410691337,0.28520008623431137,0.3251728727786487
907,4,0.3724996244500349,0.4208134642988106,0.4809478698283673
907,5,1.260170401357652,1.4256535222194213,1.6303268803168292
914,1,10.713765091840347,12.163122174988025,13.593715161746282
914,2,4.234531372796248,4.779281983879977,5.3170698677704
914,3,0.42133744432654074,0.4679471458927936,0.5232185268808184
914,4,0.6127824368654461,0.6800305198725569,0.7597476027125784
914,5,2.10141134126852,2.337134034570761,2.615772275187225
921,1,12.16945877180616,13.574599858095894,15.02883888278229
921,2,5.424124283912578,6.062198556744669,6.702635767078849
921,3,0.660272175312138,0.7258457848389585,0.8016409956304431
921,4,0.9418036325190237,1.0347145253983143,1.1395529333449432
921,5,3.2983535233722265,3.630755099439194,4.01281656130125
928,1,11.885136921934434,12.979260131282421,14.179705359324801
928,2,6.073590990623416,6.674584121694192,7.278409538373398
928,3,0.9509382941339586,1.0398219076850814,1.137639634209585
928,4,1.331061480514408,1.4513933204094782,1.583791291807631
928,5,4.790821896684652,5.23302638615775,5.727078640720854
935,1,10.161379016612852,11.012674353749507,11.968034020276757
935,2,5.954651452601436,6.437581455463601,6.957329791653379
935,3,1.2467799701665023,1.3551842553012943,1.4688763814456218
935,4,1.7156366602315263,1.8615990646739453,2.016892164408458
935,5,6.356275130445584,6.91487961320458,7.507685221542369
942,1,8.099197647503226,8.812788914321285,9.60532022417114
942,2,5.196633491736666,5.620493464493072,6.097915437209482
942,3,1.4813713752285564,1.5995725101442861,1.7263837613995445
942,4,2.023463031471592,2.185051325412057,2.3602892535288142
942,5,7.727206028756607,8.35019671822176,9.018921789830133
949,1,6.471770673243576,7.030297822741153,7.665441635162079
949,2,4.213842000429348,4.610710878188431,5.0456501198487045
949,3,1.5984556818049036,1.717579846003093,1.8493716093859454
949,4,2.192470382611864,2.359242720911306,2.544280522862954
949,5,8.608826652240577,9.267422944168917,9.998258713276883
956,1,5.3423590590442265,5.770378452132452,6.26017574779216
956,2,3.315526237922621,3.658731316826284,4.05225933620755
956,3,1.5784368042503583,1.6932600105325166,1.8222987070934364
956,4,2.196751896435689,2.362487639248533,2.5490233623416265
956,5,8.862002087825235,9.526269332392456,10.266503728422256
963,1,4.5347017249803,4.876853138550506,5.261355009238463
963,2,2.5806845098977957,2.862812245994534,3.195379475677616
963,3,1.4434468941945928,1.550834441834005,1.6730249867286011
963,4,2.0561493803340865,2.209438299716661,2.384401941719225
963,5,8.513413485414153,9.13876120988592,9.83798906359496
970,1,3.9013137610623128,4.1896737621406075,4.51266476429981
970,2,2.010088360111444,2.2353791912570427,2.5046412592096576
970,3,1.242313595155302,1.3372019746063672,1.4453236244914665
970,4,1.8131424659091413,1.9485311180370175,2.103298252227843
970,5,7.686207832034663,8.248402777597143,8.889356731353963
977,1,3.3594684759614974,3.60840867912436,3.881017171345796
977,2,1.57467748200209,1.7512515118701275,1.9627119410137956
977,3,1.018180535512042,1.0994112940344976,1.1905648173960606
977,4,1.5177696849827895,1.634038814641677,1.7648056519193056
977,5,6.5678406285463335,7.06522929958666,7.6222177878014605
984,1,2.8786696543087897,3.090585716206352,3.322258748474057
984,2,1.241236368068891,1.3768796265976864,1.540170257848156
984,3,0.803430404494603,0.8706673379102571,0.944820491365899
984,4,1.2189700158743508,1.3164020653283983,1.4239475239073784
984,5,5.3703424822899475,5.79036770082811,6.255361412948896
991,1,2.447642011664729,2.630050911465279,2.826558065052435
991,2,0.9819431213362435,1.0869958830784934,1.212021331944541
991,3,0.6171637265256453,0.6696784657130141,0.7302162110189775
