quarter,agegrp,sim_low95,sim_median,sim_up95
11,4,2500.094053223195,2666.3943154908443,2838.0071088641475
11,5,1953.3721935748226,2084.4361537694285,2221.1181535186074
11,6,1532.6576096225303,1637.1804950613578,1746.6244019092994
11,7,1246.3436374563796,1333.0886280249165,1422.9148336409282
11,8,1018.3008071024598,1089.1016163031532,1163.7128598768763
11,9,838.3564424093271,896.247794361032,958.7501163788291
11,10,698.2134544504163,747.8341245621466,799.222413659021
11,11,591.1194065463944,634.1777850585435,679.8202245106121
11,12,507.9186431525258,547.7538702024118,588.9907170620407
11,13,3038.6365495835566,3244.2178778836255,3463.851575034429
11,14,1462.9350059715482,1565.9880647439247,1681.0123414856455
11,15,159.02624212334882,170.33037380142719,182.45077522852853
11,16,95.15918089195215,102.1288683376889,109.21725442910704
11,17,88.2322968716498,94.39165538438118,100.63952917449342
11,18,47.935407487118425,51.24592298911183,54.775980315561185
11,19,70.09496334583616,75.07150623668153,80.31734359934126
11,20,46.055527143478564,49.25291170184404,52.6521398308011
11,21,77.61682440311067,82.97382730777726,88.69316208158462
11,22,169.8655661286544,181.736960397725,194.27411149005403
11,23,367.04195305004964,393.4639447439466,420.596847973143
11,24,560.6995886697999,601.574485684771,643.7022463510916
11,25,1396.4515002730398,1497.6925258317133,1600.5398689973235
12,1,216.26869294256446,228.36912883579174,240.9999894288267
12,2,264.7070884720166,279.55415294817954,294.90446868455103
12,3,286.22982228496664,300.9456798975871,316.1938349295937
12,4,226.59405428807892,238.23941471485904,250.1596361398808
12,5,176.42855047557424,185.67937265132724,195.22838930603203
12,6,137.62807515900604,145.0125657631496,152.79496550316662
12,7,109.19130348945241,115.23103588161865,121.5373828731047
12,8,88.28698347372844,93.13913972052936,98.28236478616367
12,9,72.45774555607701,76.4888515173038,80.70567735813412
12,10,60.49934221288698,63.89477055961464,67.3622655920162
12,11,51.433697256174945,54.34057257263273,57.40329511951591
12,12,44.35387081301234,47.08783423038195,49.9454933442216
12,13,318.66397077098975,331.49260783977445,345.6189418064123
12,14,93.09783193111777,99.57964540181688,106.87327479003288
12,15,8.73874283106453,9.31059805046419,9.933053044587416
12,16,5.860816871428581,6.253786669210003,6.6564938428658875
12,17,6.664365667857904,7.0707328039938195,7.487885709521758
12,18,4.073296634477116,4.305065969083186,4.540334778881385
12,19,6.360995588835031,6.702921320477476,7.055297489532948
12,20,3.8677870548804534,4.071931831645896,4.27890850052823
12,21,6.9162446262236275,7.2781225901478495,7.6499454881391005
12,22,15.778490019901485,16.584249108709734,17.411862949566697
12,23,36.62752082712358,38.49326776047927,40.38705870982006
12,24,59.14529807160267,62.176481514556926,65.27387551170897
12,25,136.40485465615143,143.36798980706558,150.5697502566702
13,1,5.638896377576941,7.422764519270762,9.809424944257643
13,2,6.916166526595266,9.07025683937345,11.903498876556258
13,3,7.465079842182598,9.77305261960381,12.780603488701217
13,4,5.9392147389412875,7.789196392460299,10.181182410140051
13,5,4.63301985434911,6.090312862576919,7.979304492624342
13,6,3.59868780112725,4.74244473221923,6.2368388075541645
13,7,2.8130190901550813,3.711432794383586,4.8972767285635115
13,8,2.2246764976701767,2.943588731343833,3.885563206201463
